"bank","addr","pqc1027","ml","match"
"2","22","2022","2022","True"
"2","23","2330","2330","True"
"2","24","1467","1467","True"
"2","25","658","658","True"
"2","26","1668","1668","True"
"2","27","1048","1048","True"
"2","28","524","524","True"
"2","29","1419","1419","True"
"2","30","149","149","True"
"2","31","2134","2134","True"
"2","32","1687","1687","True"
"2","33","2349","2349","True"
"2","34","3306","3306","True"
"2","35","2761","2761","True"
"2","36","827","827","True"
"2","37","2765","2765","True"
"2","38","2674","2674","True"
"2","39","2652","2652","True"
"2","40","186","186","True"
"2","41","3135","3135","True"
"2","42","3262","3262","True"
"2","43","2710","2710","True"
"2","44","1083","1083","True"
"2","45","1842","1842","True"
"2","46","2695","2695","True"
"2","47","1046","1046","True"
"2","48","1616","1616","True"
"2","49","163","163","True"
"2","50","3015","3015","True"
"2","51","1899","1899","True"
"2","52","2404","2404","True"
"2","53","2513","2513","True"
"2","54","2493","2493","True"
"2","55","3023","3023","True"
"2","56","2063","2063","True"
"2","57","2282","2282","True"
"2","58","1680","1680","True"
"2","59","3241","3241","True"
"2","60","393","393","True"
"2","61","831","831","True"
"2","62","744","744","True"
"2","63","1766","1766","True"
"3","0","868","868","True"
"3","1","1896","1896","True"
"3","2","850","850","True"
"3","3","1604","1604","True"
"3","4","3120","3120","True"
"3","5","1919","1919","True"
"3","6","1989","1989","True"
"3","7","506","506","True"
"3","8","2104","2104","True"
"3","9","2605","2605","True"
"3","10","533","533","True"
"3","11","1183","1183","True"
"3","12","2576","2576","True"
"3","13","2034","2034","True"
"3","14","3194","3194","True"
"3","15","3005","3005","True"
"3","16","883","883","True"
"3","17","2999","2999","True"
"3","18","905","905","True"
"3","19","777","777","True"
"3","20","1949","1949","True"
"3","21","1270","1270","True"
"3","22","1591","1591","True"
"3","23","2795","2795","True"
"3","24","1985","1985","True"
"3","25","655","655","True"
"3","26","2946","2946","True"
"3","27","2825","2825","True"
"3","28","901","901","True"
"3","29","2334","2334","True"
"3","30","3105","3105","True"
"3","31","2303","2303","True"
"3","32","2857","2857","True"
"3","33","726","726","True"
"3","34","1066","1066","True"
"3","35","2536","2536","True"
"3","36","1662","1662","True"
"3","37","2564","2564","True"
"3","38","2615","2615","True"
"3","39","1000","1000","True"
"3","40","1378","1378","True"
"3","41","1511","1511","True"
"3","42","2343","2343","True"
"3","43","30","30","True"
"3","44","772","772","True"
"3","45","873","873","True"
"3","46","2057","2057","True"
"3","47","3293","3293","True"
"3","48","1703","1703","True"
"3","49","718","718","True"
"3","50","493","493","True"
"3","51","1824","1824","True"
"3","52","1937","1937","True"
"3","53","3097","3097","True"
"3","54","3299","3299","True"
"3","55","636","636","True"
"3","56","1544","1544","True"
"3","57","295","295","True"
"3","58","526","526","True"
"3","59","2217","2217","True"
"3","60","1936","1936","True"
"3","61","1182","1182","True"
"3","62","287","287","True"
"3","63","1889","1889","True"
