		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101111  264  220  242  247  251  210  267  266 13.711135 0.089612 SUCCESS  22
000110011  243  278  229  262  261  253  262  274  9.391588 0.310346 SUCCESS  23
000110101  278  243  253  245  261  280  248  250  7.835418 0.449710 SUCCESS  24
000110111  252  234  276  261  274  250  235  266  8.752622 0.363592 SUCCESS  25
000111001  243  256  274  274  230  220  276  284 18.083564 0.020609 SUCCESS  26
000111011  255  237  259  239  247  236  243  236  3.494020 0.899653 SUCCESS  27
000111101  218  270  239  256  286  264  252  236 13.544347 0.094443 SUCCESS  28
000111111  244  269  236  223  250  280  256  239  9.842432 0.276260 SUCCESS  29
001000011  264  266  232  281  270  255  250  277 11.973438 0.152393 SUCCESS  30
001000101  262  249  255  275  230  276  244  252  7.912089 0.442104 SUCCESS  31
001000111  236  237  239  264  266  249  268  221  8.702457 0.368015 SUCCESS  32
001001011  237  256  260  270  265  279  262  248  7.949584 0.438410 SUCCESS  33
001001101  254  234  239  247  229  240  243  271  5.923305 0.655823 SUCCESS  34
001001111  261  252  256  239  216  250  268  224 10.082529 0.259281 SUCCESS  35
001010011  234  216  278  250  239  286  228  222 20.188453 0.009646 FAILURE  36
001010101  274  241  235  234  246  220  260  246  8.972420 0.344628 SUCCESS  37
001010111  268  292  246  264  247  262  259  272 12.500824 0.130218 SUCCESS  38
001011011  238  259  213  239  274  257  238  246 10.338788 0.242048 SUCCESS  39
001011101  239  252  245  255  262  262  285  255  7.094440 0.526478 SUCCESS  40
001011111  248  234  269  227  241  236  257  268  7.444695 0.489499 SUCCESS  41
001100101  258  254  212  243  239  234  239  262  9.156663 0.329253 SUCCESS  42
001100111  245  262  225  254  246  248  249  264  4.248186 0.834066 SUCCESS  43
001101011  243  271  256  263  235  249  247  248  3.865867 0.869018 SUCCESS  44
001101101  248  262  258  249  245  254  260  258  1.733826 0.988113 SUCCESS  45
001101111  254  237  256  244  249  247  254  294  9.185366 0.326901 SUCCESS  46
001110101  232  265  247  263  250  236  248  264  4.646925 0.794560 SUCCESS  47
001110111  251  246  256  252  243  254  219  253  4.514659 0.807965 SUCCESS  48
001111011  239  236  259  249  244  259  238  226  5.107337 0.746045 SUCCESS  49
001111101  261  234  247  255  239  241  244  258  2.947240 0.937625 SUCCESS  50
001111111  272  264  239  236  250  262  269  242  6.483531 0.593235 SUCCESS  51
010000011  231  245  283  231  262  268  256  243  9.886651 0.273072 SUCCESS  52
010000111  252  245  221  289  263  253  231  264 12.935766 0.114079 SUCCESS  53
010001011  231  228  254  225  253  240  250  237  7.287733 0.505930 SUCCESS  54
010001111  233  252  223  248  274  266  247  221 11.199362 0.190657 SUCCESS  55
010010011  260  248  234  241  242  240  260  255  3.017705 0.933242 SUCCESS  56
010010111  247  251  240  241  258  269  259  238  3.479927 0.900742 SUCCESS  57
010011011  253  239  253  250  231  247  247  278  5.386610 0.715568 SUCCESS  58
